Username,Repo_Name,Contributor_Login,Contributions_Count,Type
torvalds,1590A,torvalds,56,User
torvalds,1590A,GNUfault-is-on-repo-or-cz-cuz-dis-sux,1,User
torvalds,AudioNoise,torvalds,45,User
torvalds,AudioNoise,phstrauss,1,User
torvalds,GuitarPedal,torvalds,42,User
torvalds,GuitarPedal,clevelandmusicco,11,User
torvalds,HunspellColorize,torvalds,5,User
torvalds,libdc-for-dirk,jefdriesen,1368,User
torvalds,libdc-for-dirk,torvalds,100,User
torvalds,libdc-for-dirk,dirkhh,88,User
torvalds,libdc-for-dirk,glance-,42,User
torvalds,libdc-for-dirk,jvanostrand,26,User
torvalds,libdc-for-dirk,claudiuolteanu,11,User
torvalds,libdc-for-dirk,morejanus,9,User
torvalds,libdc-for-dirk,janmulder,5,User
torvalds,libdc-for-dirk,bstoeger,3,User
torvalds,libdc-for-dirk,kristapsdz,3,User
torvalds,libdc-for-dirk,bspruck,2,User
torvalds,libdc-for-dirk,theCarlG,2,User
torvalds,libdc-for-dirk,dennypage,2,User
torvalds,libdc-for-dirk,vesath,2,User
torvalds,libdc-for-dirk,zavorra,2,User
torvalds,libdc-for-dirk,atdotde,2,User
torvalds,libdc-for-dirk,venkateshshukla,2,User
torvalds,libdc-for-dirk,fd0,1,User
torvalds,libdc-for-dirk,flokli,1,User
torvalds,libdc-for-dirk,gilbertf,1,User
torvalds,libdc-for-dirk,kelfathi,1,User
torvalds,libdc-for-dirk,michaelandreen,1,User
torvalds,libdc-for-dirk,mturkia,1,User
torvalds,libdc-for-dirk,olivierbussier,1,User
torvalds,libdc-for-dirk,pvalsecc,1,User
torvalds,libdc-for-dirk,ryanm101,1,User
torvalds,libdc-for-dirk,skettler,1,User
torvalds,libdc-for-dirk,stef-73,1,User
torvalds,libdc-for-dirk,StefParis,1,User
torvalds,libgit2,ethomson,3653,User
torvalds,libgit2,carlosmn,2028,User
torvalds,libgit2,pks-t,1422,User
torvalds,libgit2,arrbee,1128,User
torvalds,libgit2,nulltoken,590,User
torvalds,libgit2,ben,542,User
torvalds,libgit2,tiennou,253,User
torvalds,libgit2,schu,158,User
torvalds,libgit2,jacquesg,111,User
torvalds,libgit2,phkelley,110,User
torvalds,libgit2,lhchavez,107,User
torvalds,libgit2,csware,104,User
torvalds,libgit2,linquize,74,User
torvalds,libgit2,spearce,64,User
torvalds,libgit2,arthurschreiber,63,User
torvalds,libgit2,scunz,60,User
torvalds,libgit2,swisspol,45,User
torvalds,libgit2,kiryl,43,User
torvalds,libgit2,nelhage,38,User
torvalds,libgit2,ageric,36,User
torvalds,libgit2,chris-y,36,User
torvalds,libgit2,punkymaniac,31,User
torvalds,libgit2,boretrk,31,User
torvalds,libgit2,Bigboybad,31,User
torvalds,libgit2,jamill,27,User
torvalds,libgit2,jeffhostetler,25,User
torvalds,libgit2,sba1,24,User
torvalds,libgit2,yorah,24,User
torvalds,libgit2,spraints,22,User
torvalds,libgit2,implausible,21,User
torvalds,pesconvert,torvalds,12,User
torvalds,pesconvert,MaxKellermann,5,User
torvalds,pesconvert,TorstenScheck,1,User
torvalds,pesconvert,treveradams,1,User
torvalds,subsurface-for-dirk,dirkhh,6811,User
torvalds,subsurface-for-dirk,bstoeger,2380,User
torvalds,subsurface-for-dirk,mturkia,1032,User
torvalds,subsurface-for-dirk,torvalds,1007,User
torvalds,subsurface-for-dirk,neolit123,810,User
torvalds,subsurface-for-dirk,janiversen,673,User
torvalds,subsurface-for-dirk,glance-,633,User
torvalds,subsurface-for-dirk,atdotde,611,User
torvalds,subsurface-for-dirk,janmulder,438,User
torvalds,subsurface-for-dirk,willemferguson,295,User
torvalds,subsurface-for-dirk,gehadelrobey,281,User
torvalds,subsurface-for-dirk,sfuchs79,223,User
torvalds,subsurface-for-dirk,salvadorcunat,209,User
torvalds,subsurface-for-dirk,jbygdell,196,User
torvalds,subsurface-for-dirk,thiagomacieira,155,User
torvalds,subsurface-for-dirk,RickMWalsh,145,User
torvalds,subsurface-for-dirk,henrik242,141,User
torvalds,subsurface-for-dirk,ssttaarr,108,User
torvalds,subsurface-for-dirk,sebasje,104,User
torvalds,subsurface-for-dirk,gracie89,68,User
torvalds,subsurface-for-dirk,claudiuolteanu,51,User
torvalds,subsurface-for-dirk,ggardet,48,User
torvalds,subsurface-for-dirk,merinsky,47,User
torvalds,subsurface-for-dirk,jayjay-w,45,User
torvalds,subsurface-for-dirk,DerDakon,35,User
torvalds,subsurface-for-dirk,bokic,33,User
torvalds,subsurface-for-dirk,amitkc,28,User
torvalds,subsurface-for-dirk,pypingou,25,User
torvalds,subsurface-for-dirk,pvalsecc,25,User
torvalds,subsurface-for-dirk,dje29,25,User
torvalds,test-tlb,torvalds,10,User
torvalds,uemacs,tfarina,46,User
torvalds,uemacs,torvalds,36,User
torvalds,uemacs,penberg,7,User
torvalds,uemacs,vonbrand,1,User
torvalds,uemacs,lijie,1,User
torvalds,uemacs,naota,1,User
torvalds,uemacs,thiagofarina,1,User
torvalds,uemacs,ulm,1,User
