Username,Repo_Name,Size,Stargazers_Count,Watchers_Count,Language,Forks_Count,Open_Issues_Count
torvalds,1590A,10882,565,565,OpenSCAD,22,0
torvalds,AudioNoise,1428,4373,4373,C,206,30
torvalds,GuitarPedal,6391,1952,1952,C,70,3
torvalds,HunspellColorize,15,344,344,C,15,2
torvalds,libdc-for-dirk,3743,387,387,C,52,1
torvalds,libgit2,62768,359,359,C,28,1
torvalds,linux,6304255,235014,235014,C,62643,3
torvalds,pesconvert,17,560,560,C,75,6
torvalds,subsurface-for-dirk,155337,457,457,C++,68,2
torvalds,test-tlb,19,1003,1003,C,219,13
torvalds,uemacs,478,2034,2034,C,308,13
