Repo_Name,Health_Score,Status,Recent_Commits,Stargazers_Count
linux,98.00000000000001,Impactful,30,235014
1590A,60.021070381586725,Impactful,30,565
libdc-for-dirk,59.348813855243975,Impactful,30,387
libgit2,59.33876322199794,Impactful,30,359
subsurface-for-dirk,58.69322254859735,Impactful,30,457
GuitarPedal,58.1546075367736,Impactful,30,1952
uemacs,51.57093375030689,Impactful,30,2034
AudioNoise,40.40437088639288,Impactful,30,4373
pesconvert,40.03756958818608,Impactful,20,560
test-tlb,21.054643888081433,Impactful,11,1003
HunspellColorize,18.666666666666668,Neglected,5,344
